id,email,fav_designer,fav_color,fav_shop
1,mlearoydil@seesaa.net,Channel,gray,"Connelly, Jenkins and Corkery"
2,nfairbairn1q@who.int,Tommy Hilfiger,gray,Mayert and Sons
3,rstanley9r@blogtalkradio.com,Prada,brown,Little-Hirthe
4,pjaslemi3@hhs.gov,Valentino,orange,Schoen LLC
5,mlaxen8d@over-blog.com,Louis Vuitton,black,Kemmer-Gulgowski
6,msawtellak@scientificamerican.com,Versace,white,Bechtelar LLC
7,bbrandfb@nydailynews.com,Fendi,purple,Osinski-Torp
8,lgossere@about.me,Pierre Cardin,purple,Koelpin-Deckow
9,cpomfrettrm@google.com.hk,D&G,brown,"Raynor, MacGyver and Grady"
10,creenql@addtoany.com,Burberry,green,Bashirian-Funk
11,gcromleholmeqa@wsj.com,Fendi,red,"Franecki, Price and Schaden"
12,jturgoosent@oracle.com,Balenciaga,yellow,Stoltenberg Group
13,jbess8m@amazon.de,Nike,brown,Prosacco-Anderson
14,rforresterr8@multiply.com,Prada,green,Collins-Welch
15,mgoodburnp3@dmoz.org,Nike,brown,Hayes Inc
16,neakly9f@cmu.edu,Nike,brown,Walsh Group
17,kbratleygk@sakura.ne.jp,Balenciaga,pink,"Powlowski, Roberts and Leannon"
18,mpetigrewqo@yellowbook.com,Valentino,red,Kerluke-Hyatt
19,soatsgz@netlog.com,Balenciaga,gray,Bednar-Herzog
20,bsillwoodfi@epa.gov,Fendi,yellow,Williamson LLC
21,hnehls4g@dagondesign.com,Pierre Cardin,blue,O'Kon Group
22,lormanho@google.it,Dior,pink,Parker-Kris
23,toakwelllj@utexas.edu,Versace,green,Konopelski LLC
24,mleleu4@google.ru,Burberry,blue,"Paucek, Conroy and Jacobson"
25,mgatlinkr@naver.com,Channel,white,"Kerluke, Schiller and Champlin"
26,asneezem5v@t-online.de,Armani,brown,"Upton, Lynch and Brown"
27,lenochssonle@tmall.com,Asprey,green,Lueilwitz-Smith
28,hgethinmj@hostgator.com,D&G,orange,McDermott-McDermott
29,gcliffordfo@gnu.org,Nike,pink,Ziemann-Goodwin
30,kaccum6y@foxnews.com,Dior,red,Pouros Group
31,aschulzen3@ucla.edu,Nike,blue,Kuhn-Vandervort
32,ohovey36@thetimes.co.uk,D&G,black,Graham-Paucek
33,ascryneqc@dion.ne.jp,Gucci,purple,Luettgen-Considine
34,mguerryj1@bing.com,D&G,orange,Baumbach LLC
35,zarens6e@businessweek.com,Fendi,purple,Parker Group
36,dtamplin2z@g.co,Burberry,orange,"Reinger, Price and Boehm"
37,xhourstan27@barnesandnoble.com,Dior,red,Blanda-Dach
38,ahardes8p@state.tx.us,Fendi,blue,O'Keefe-O'Hara
39,wmanthorpeip@auda.org.au,Prada,green,Nolan-Osinski
40,lguillepq@multiply.com,Louis Vuitton,brown,Wolf-Bogan
41,catthoweoy@nymag.com,Tommy Hilfiger,black,Lemke-Bernhard
42,jcastellone3@yahoo.co.jp,Balenciaga,black,Cruickshank LLC
43,evinto6@umn.edu,Valentino,brown,Kemmer-Hirthe
44,adixsonbv@liveinternet.ru,Versace,blue,Boyer-Goodwin
45,aketcherdi@google.co.jp,Burberry,pink,"Lowe, Hermiston and Wisoky"
46,jadney6s@ted.com,Louis Vuitton,orange,Emard-Von
47,bavrasinkw@cargocollective.com,Nike,gray,Daniel LLC
48,rsineyll@typepad.com,Gucci,yellow,"Botsford, D'Amore and Bashirian"
49,crultenqb@sitemeter.com,Gucci,blue,"Jacobs, Hickle and Schaden"
50,agenicke2w@elpais.com,Pierre Cardin,black,Kris-Ernser
51,kleguayht@shop-pro.jp,Channel,orange,Kling-Spencer
52,jfurneauxhb@behance.net,Gucci,yellow,Keeling-Bayer
53,aragbourngl@istockphoto.com,Louis Vuitton,black,Lowe and Sons
54,lmcclurg6p@com.com,Prada,pink,Hand-Cassin
55,abillsao@columbia.edu,Prada,purple,"Hills, Bahringer and Ortiz"
56,rsaylorm6@xing.com,Tom Ford,orange,"Von, Langosh and Ryan"
57,cmcmenamin8k@cmu.edu,Nike,yellow,Steuber and Sons
58,pholdinbb@drupal.org,Armani,blue,"Robel, Kling and Bednar"
59,jfancuttma@aboutads.info,D&G,pink,"Morar, Runte and Lynch"
60,hjenkinbf@weibo.com,Valentino,black,Gerhold LLC
61,ahardes8p@state.tx.us,Versace,yellow,Wilkinson and Sons
62,gtorresi4t@hp.com,Armani,blue,Feeney-Lebsack
63,rgaitoneci@nasa.gov,Tom Ford,white,Purdy-Kassulke
